,ds,Food,Clothing & Footwear,Housing & Utilities,Household Durables & Services,Health Care,Transport,Communication,Recreation & Culture,Miscellaneous Goods & Services
0,1962-02-01,200.0,-inf,-62.5,24.999999999999993,-100.0,-0.0,,,
1,1962-03-01,-180.0,42.85714285714287,66.66666666666667,-120.0,,-0.0,,,
2,1962-04-01,-175.00000000000003,-30.000000000000004,-60.0,500.0,,-0.0,,,-inf
3,1962-05-01,111.1111111111111,-57.14285714285714,249.99999999999994,-41.66666666666667,,-0.0,,,-100.0
4,1962-06-01,-26.31578947368421,-133.33333333333334,0.0,-14.285714285714283,,-0.0,,,
5,1962-07-01,7.1428571428571495,-500.0,0.0,-150.0,,-0.0,,,
6,1962-08-01,-153.33333333333331,-0.0,-14.285714285714283,33.33333333333335,,-0.0,,,
7,1962-09-01,-212.5,100.0,0.0,0.0,,-0.0,,,-inf
8,1962-10-01,-100.0,-0.0,0.0,0.0,,-0.0,,,-0.0
9,1962-11-01,inf,-25.000000000000007,-16.666666666666664,0.0,,-0.0,,,-0.0
10,1962-12-01,85.71428571428574,-83.33333333333334,60.00000000000001,49.999999999999986,,-100.0,,,-0.0
11,1963-01-01,192.3076923076923,1299.9999999999998,-75.00000000000001,-450.0000000000001,-inf,,,,-0.0
12,1963-02-01,5.263157894736848,-64.28571428571428,49.999999999999986,4.761904761904765,-100.0,,,,-0.0
13,1963-03-01,-19.999999999999996,39.99999999999999,66.66666666666667,-4.545454545454549,,,,,-0.0
14,1963-04-01,-28.12500000000001,28.57142857142858,39.99999999999999,-0.0,,,,,-100.0
15,1963-05-01,39.13043478260872,-22.22222222222223,-128.57142857142856,-4.761904761904765,,,,,
16,1963-06-01,-9.375000000000009,-0.0,-0.0,-0.0,,inf,,-inf,
17,1963-07-01,-34.48275862068966,-14.285714285714283,-0.0,-5.000000000000004,,0.0,,-0.0,
18,1963-08-01,52.63157894736842,-66.66666666666666,-50.0,5.263157894736848,,0.0,,-0.0,
19,1963-09-01,-3.448275862068969,-400.0,-0.0,-5.000000000000004,,0.0,,-0.0,
20,1963-10-01,167.8571428571429,-50.0,-400.0,-0.0,,0.0,,-0.0,
21,1963-11-01,-36.00000000000001,0.0,133.33333333333331,10.526315789473696,,-100.0,,-0.0,
22,1963-12-01,-4.1666666666666705,133.33333333333331,0.0,4.761904761904765,,inf,,-0.0,
23,1964-01-01,-50.0,14.285714285714299,42.85714285714287,-100.0,,0.0,,-100.0,-inf
24,1964-02-01,-21.7391304347826,-50.0,0.0,,,0.0,,,39.99999999999999
25,1964-03-01,150.0,74.99999999999997,19.999999999999996,,,0.0,,,-0.0
26,1964-04-01,-11.11111111111111,0.0,-8.333333333333323,inf,,0.0,,,-0.0
27,1964-05-01,-19.999999999999996,0.0,-36.36363636363637,0.0,,0.0,,,-0.0
28,1964-06-01,-34.375,-14.285714285714283,0.0,0.0,,-25.000000000000007,,inf,-0.0
29,1964-07-01,61.9047619047619,33.33333333333335,0.0,-50.0,,0.0,,0.0,-0.0
30,1964-08-01,64.70588235294117,-50.0,185.71428571428575,300.00000000000006,,0.0,,0.0,-0.0
31,1964-09-01,-26.785714285714285,-75.00000000000001,55.00000000000001,0.0,,0.0,,0.0,-0.0
32,1964-10-01,-129.26829268292684,400.0,3.2258064516129057,0.0,,0.0,,0.0,-0.0
33,1964-11-01,-83.33333333333334,39.99999999999999,12.499999999999996,24.999999999999993,,33.33333333333335,inf,0.0,-0.0
34,1964-12-01,-599.9999999999999,-42.85714285714285,0.0,0.0,,-100.0,0.0,0.0,-107.14285714285714
35,1965-01-01,-70.0,125.0,0.0,19.999999999999996,,,0.0,-100.0,900.0
36,1965-02-01,-433.33333333333337,33.33333333333333,0.0,-16.666666666666664,,,0.0,,60.00000000000001
37,1965-03-01,39.99999999999999,-33.33333333333333,-19.444444444444446,19.999999999999996,,,0.0,,0.0
38,1965-04-01,21.428571428571434,0.0,0.0,83.33333333333336,,,0.0,,0.0
39,1965-05-01,-76.47058823529412,-37.50000000000001,13.79310344827586,0.0,,,0.0,,0.0
40,1965-06-01,-300.00000000000006,0.0,-3.0303030303030196,0.0,,,0.0,,0.0
41,1965-07-01,-237.5,-120.0,0.0,54.54545454545453,,,0.0,,0.0
42,1965-08-01,118.18181818181816,300.00000000000006,-50.0,-17.647058823529417,,,0.0,,6.249999999999992
43,1965-09-01,-54.166666666666664,24.999999999999993,-93.75,21.428571428571434,,,0.0,,0.0
44,1965-10-01,-100.0,-680.0,0.0,158.82352941176472,,,0.0,,35.29411764705881
45,1965-11-01,inf,41.37931034482758,-1000.0,63.636363636363626,,,-100.0,,26.086956521739136
46,1965-12-01,-15.38461538461538,0.0,22.22222222222223,5.555555555555548,,,,,-41.37931034482759
47,1966-01-01,136.36363636363635,-46.341463414634134,-27.272727272727277,0.0,,,,,23.52941176470589
48,1966-02-01,-38.46153846153846,0.0,-0.0,1.3157894736842175,,,,,-14.285714285714288
49,1966-03-01,-25.000000000000007,22.727272727272727,-37.50000000000001,1.298701298701294,,,,,0.0
50,1966-04-01,275.0,-7.407407407407414,-19.999999999999996,-5.1282051282051215,,,,,0.0
51,1966-05-01,-33.33333333333333,11.999999999999993,300.00000000000006,12.162162162162167,,,,,-5.55555555555556
52,1966-06-01,-3.333333333333336,-10.714285714285708,-0.0,-2.40963855421688,,,,,5.882352941176476
53,1966-07-01,58.620689655172406,8.000000000000007,-6.250000000000005,-3.7037037037037015,,,,,-5.55555555555556
54,1966-08-01,0.0,18.51851851851852,-20.000000000000004,2.5641025641025665,,,,,0.0
55,1966-09-01,-36.95652173913043,-3.1250000000000027,-24.999999999999993,3.750000000000009,,,,,5.882352941176476
56,1966-10-01,-34.48275862068966,-106.45161290322582,22.22222222222223,-30.120481927710852,,,,,-33.333333333333336
57,1966-11-01,5.263157894736848,700.0,-272.7272727272727,-41.37931034482759,,inf,,,-41.66666666666667
58,1966-12-01,-9.999999999999998,-12.50000000000001,-5.263157894736835,-8.823529411764701,,0.0,,,-42.85714285714285
59,1967-01-01,33.33333333333333,-100.0,-16.666666666666668,64.51612903225805,,0.0,,,0.0
60,1967-02-01,66.66666666666667,inf,20.000000000000004,25.49019607843139,,0.0,,,-25.000000000000007
61,1967-03-01,14.999999999999991,-100.0,0.0,0.0,,0.0,,,-33.33333333333333
62,1967-04-01,-73.91304347826086,inf,-16.666666666666668,-12.50000000000001,,0.0,,,49.999999999999986
63,1967-05-01,125.00000000000003,-200.0,140.0,-19.642857142857135,,0.0,,,66.66666666666667
64,1967-06-01,51.851851851851826,-500.0,5.555555555555548,6.6666666666666625,,0.0,,,-19.999999999999996
65,1967-07-01,41.46341463414635,49.999999999999986,-7.894736842105258,85.41666666666669,,0.0,,,49.999999999999986
66,1967-08-01,-34.48275862068966,50.000000000000014,0.0,-16.853932584269664,,0.0,,,0.0
67,1967-09-01,65.78947368421053,-77.77777777777777,5.71428571428572,-6.756756756756756,,0.0,,,0.0
68,1967-10-01,7.936507936507936,-50.0,-5.40540540540541,0.0,,0.0,,,-16.666666666666664
69,1967-11-01,7.352941176470589,100.0,-74.28571428571429,-5.797101449275368,,-100.0,,,-19.999999999999996
70,1967-12-01,5.479452054794526,-150.00000000000003,33.33333333333333,0.0,,,,,0.0
71,1968-01-01,-33.766233766233775,-799.9999999999999,16.666666666666664,-30.76923076923077,inf,,,,-75.00000000000001
72,1968-02-01,-39.2156862745098,-57.14285714285714,-21.428571428571416,-33.33333333333333,0.0,,,,400.0
73,1968-03-01,9.677419354838705,0.0,-9.090909090909099,-6.666666666666672,0.0,,,,80.0
74,1968-04-01,67.64705882352942,0.0,19.999999999999996,14.285714285714299,0.0,,,,-11.111111111111107
75,1968-05-01,-73.68421052631578,0.0,-16.666666666666664,12.499999999999996,0.0,,,,537.4999999999999
76,1968-06-01,-126.66666666666666,-66.66666666666666,0.0,2.77777777777778,0.0,,,,0.0
77,1968-07-01,349.99999999999994,0.0,10.000000000000009,-100.0,0.0,,,,0.0
78,1968-08-01,-111.11111111111111,-300.00000000000006,36.36363636363635,inf,0.0,,,,0.0
79,1968-09-01,-1150.0,-449.9999999999999,-13.33333333333333,0.0,0.0,,,,0.0
80,1968-10-01,-0.0,71.42857142857143,46.15384615384614,-36.36363636363637,660.0,,,,3.921568627450984
81,1968-11-01,85.7142857142857,8.333333333333341,-15.789473684210517,-42.85714285714285,0.0,,,,-1.886792452830182
82,1968-12-01,46.15384615384616,23.076923076923077,-75.00000000000001,24.999999999999993,44.736842105263165,,,,0.0
83,1969-01-01,5.263157894736839,-18.750000000000004,300.00000000000006,-240.0,70.9090909090909,inf,,,1.9230769230769162
84,1969-02-01,-21.666666666666664,38.46153846153846,24.999999999999993,-0.0,0.0,0.0,,,0.0
85,1969-03-01,-25.531914893617024,0.0,5.000000000000004,-42.85714285714285,0.0,0.0,,,30.18867924528303
86,1969-04-01,8.571428571428566,22.22222222222223,0.0,24.999999999999993,0.0,0.0,,,0.0
87,1969-05-01,-107.89473684210526,4.545454545454529,14.285714285714276,39.99999999999999,0.0,0.0,,,-62.318840579710155
88,1969-06-01,-300.0,-13.04347826086956,8.333333333333341,28.57142857142858,0.0,0.0,,,-7.692307692307699
89,1969-07-01,233.33333333333334,35.00000000000001,3.8461538461538494,55.55555555555555,0.0,0.0,,,-4.1666666666666705
90,1969-08-01,19.999999999999996,-18.51851851851852,-11.11111111111112,-35.71428571428571,0.0,0.0,,,0.0
91,1969-09-01,-50.0,27.272727272727256,0.0,22.22222222222223,0.0,0.0,,,0.0
92,1969-10-01,58.333333333333336,-28.571428571428566,-24.999999999999993,-109.09090909090911,-37.234042553191486,0.0,,,-8.695652173913032
93,1969-11-01,-115.7894736842105,-9.999999999999998,0.0,800.0,0.0,0.0,,,-14.285714285714288
94,1969-12-01,866.6666666666667,50.000000000000014,61.11111111111111,-11.111111111111107,-28.8135593220339,0.0,,,0.0
